index,question,distractor3,distractor1,distractor2,correct_answer,support,support-clean,word_count
8641,What is the general name for a solid material that is formed via a natural process?,plasma,chemical,gas,mineral,"A mineral is a solid material that forms by a natural process. A mineral can be made of an element or a compound. It has a specific chemical composition. Its chemical composition is different from other minerals. Each type of mineral has physical properties that differ from others. These properties include crystal structure, hardness, density, and color. For example, silver is a soft, shiny metal. Salt is a white, cube-shaped crystal. Diamond is an extremely hard, translucent crystal.","A mineral is a solid material that forms by a natural process. A mineral can be made of an element or a compound. It has a specific chemical composition. Its chemical composition is different from other minerals. Each type of mineral has physical properties that differ from others. These properties include crystal structure, hardness, density, and color. For example, silver is a soft, shiny metal. Salt is a white, cube-shaped crystal. Diamond is an extremely hard, translucent crystal.",78
10061,"Anemia, leukemia, hemophilia, and sickle-cell disease are examples of conditions that primarily affect what?",heart,Lungs,brain,blood,"Some diseases affect mainly the blood or its components. They include anemia, leukemia, hemophilia, and sickle-cell disease.","Some diseases affect mainly the blood or its components. They include anemia, leukemia, hemophilia, and sickle-cell disease.",17
1451,"What celestial bodies are classified by color and temperature, ranging from blue to red and hottest to coolest?",galaxies,astroids,planets,stars,"Stars are classified by color and temperature. The most common system uses the letters O (blue), B (blue-white), A (white), F (yellow-white), G (yellow), K (orange), and M (red), from hottest to coolest.","Stars are classified by color and temperature. The most common system uses the letters O (blue), B (blue-white), A (white), F (yellow-white), G (yellow), K (orange), and M (red), from hottest to coolest.",33
63,What's the term for the gradual progression from simple plants to larger more complex ones in an area?,primary pattern,complex progression,pattern progression,primary succession,"The pioneer species is soon replaced by other populations. Abiotic factors such as soil quality, water, and climate will determine the species that continue the process of succession. Mosses and grasses will be able to grow in the newly created soil. During early succession, plant species like grasses that grow and reproduce quickly will take over the landscape. Over time, these plants improve the soil and a few shrubs can begin to grow. Slowly, the shrubs are replaced by small trees. Small trees then are succeeded by larger trees. Since trees are more successful at competing for resources than shrubs and grasses, a forest may be the end result of primary succession.","The pioneer species is soon replaced by other populations. Abiotic factors such as soil quality, water, and climate will determine the species that continue the process of succession. Mosses and grasses will be able to grow in the newly created soil. During early succession, plant species like grasses that grow and reproduce quickly will take over the landscape. Over time, these plants improve the soil and a few shrubs can begin to grow. Slowly, the shrubs are replaced by small trees. Small trees then are succeeded by larger trees. Since trees are more successful at competing for resources than shrubs and grasses, a forest may be the end result of primary succession.",112
8384,The primary hormones derived from lipids are what?,antibiotics,amino acids,melatonins,steroids,"Steroid Hormones The primary hormones derived from lipids are steroids. Steroid hormones are derived from the lipid cholesterol. For example, the reproductive hormones testosterone and the estrogens—which are produced by the gonads (testes and ovaries)—are steroid hormones. The adrenal glands produce the steroid hormone aldosterone, which is involved in osmoregulation, and cortisol, which plays a role in metabolism. Like cholesterol, steroid hormones are not soluble in water (they are hydrophobic). Because blood is water-based, lipidderived hormones must travel to their target cell bound to a transport protein. This more complex structure extends the half-life of steroid hormones much longer than that of hormones derived from amino acids. A hormone’s half-life is the time required for half the concentration of the hormone to be degraded. For example, the lipid-derived hormone cortisol has a half-life of approximately 60 to 90 minutes. In contrast, the amino acid–derived hormone epinephrine has a half-life of approximately one minute.","Steroid Hormones The primary hormones derived from lipids are steroids. Steroid hormones are derived from the lipid cholesterol. For example, the reproductive hormones testosterone and the estrogens—which are produced by the gonads (testes and ovaries)—are steroid hormones. The adrenal glands produce the steroid hormone aldosterone, which is involved in osmoregulation, and cortisol, which plays a role in metabolism. Like cholesterol, steroid hormones are not soluble in water (they are hydrophobic). Because blood is water-based, lipidderived hormones must travel to their target cell bound to a transport protein. This more complex structure extends the half-life of steroid hormones much longer than that of hormones derived from amino acids. A hormone’s half-life is the time required for half the concentration of the hormone to be degraded. For example, the lipid-derived hormone cortisol has a half-life of approximately 60 to 90 minutes. In contrast, the amino acid–derived hormone epinephrine has a half-life of approximately one minute.",153
3190,Upwelling mantle at the mid-ocean ridge pushes plates in which direction?,westward,eastward,inward,outward,Plates move for two reasons. Upwelling mantle at the mid-ocean ridge pushes plates outward. Cold lithosphere sinking into the mantle at a subduction zone pulls the rest of the plate down with it.,Plates move for two reasons. Upwelling mantle at the mid-ocean ridge pushes plates outward. Cold lithosphere sinking into the mantle at a subduction zone pulls the rest of the plate down with it.,33
6736,"Initial substances are called reactants, and the final substances are called what?",reactors,exports,imports,products,"H2 + O2 → H2O This is an example of a chemical equation, which is a concise way of representing a chemical reaction. The initial substances are called reactants, and the final substances are called products. Unfortunately, it is also an incomplete chemical equation. The law of conservation of matter says that matter cannot be created or destroyed. In chemical equations, the number of atoms of each element in the reactants must be the same as the number of atoms of each element in the products. If we count the number of hydrogen atoms in the reactants and products, we find two hydrogen atoms. But if we count the number of oxygen atoms in the reactants and products, we find that there are two oxygen atoms in the reactants but only one oxygen atom in the products. What can we do? Can we change the subscripts in the formula for water so that it has two oxygen atoms in it? No; you cannot change the formulas of individual substances because the chemical formula for a given substance is characteristic of that substance. What you can do, however, is to change the number of molecules that react or are produced. We do this one element at a time, going from one side of the reaction to the other, changing the number of molecules of a substance until all elements have the same number of atoms on each side. To accommodate the two oxygen atoms as reactants, let us assume that we have two water molecules as products:.","H2 + O2 → H2O This is an example of a chemical equation, which is a concise way of representing a chemical reaction. The initial substances are called reactants, and the final substances are called products. Unfortunately, it is also an incomplete chemical equation. The law of conservation of matter says that matter cannot be created or destroyed. In chemical equations, the number of atoms of each element in the reactants must be the same as the number of atoms of each element in the products. If we count the number of hydrogen atoms in the reactants and products, we find two hydrogen atoms. But if we count the number of oxygen atoms in the reactants and products, we find that there are two oxygen atoms in the reactants but only one oxygen atom in the products. What can we do? Can we change the subscripts in the formula for water so that it has two oxygen atoms in it? No; you cannot change the formulas of individual substances because the chemical formula for a given substance is characteristic of that substance. What you can do, however, is to change the number of molecules that react or are produced. We do this one element at a time, going from one side of the reaction to the other, changing the number of molecules of a substance until all elements have the same number of atoms on each side. To accommodate the two oxygen atoms as reactants, let us assume that we have two water molecules as products:.",256
53,The ability for a plasma membrane to only allow certain molecules in or out of the cell is referred to as what?,moderate permeability,periodic permeability,total permeability,selective permeability,"The plasma membrane forms a barrier between the cytoplasm inside the cell and the environment outside the cell. It protects and supports the cell and also controls everything that enters and leaves the cell. It allows only certain substances to pass through, while keeping others in or out. The ability to allow only certain molecules in or out of the cell is referred to as selective permeability or semipermeability. To understand how the plasma membrane controls what crosses into or out of the cell, you need to know its composition.","The plasma membrane forms a barrier between the cytoplasm inside the cell and the environment outside the cell. It protects and supports the cell and also controls everything that enters and leaves the cell. It allows only certain substances to pass through, while keeping others in or out. The ability to allow only certain molecules in or out of the cell is referred to as selective permeability or semipermeability. To understand how the plasma membrane controls what crosses into or out of the cell, you need to know its composition.",90
3773,"One of the early signs of cell disease is this ""leaking"" of what into the body cells?",glucose,proteins,potassium ions,sodium ions,"Potassium Concentration Glial cells, especially astrocytes, are responsible for maintaining the chemical environment of the CNS tissue. The concentrations of ions in the extracellular fluid are the basis for how the membrane potential is established and changes in electrochemical signaling. If the balance of ions is upset, drastic outcomes are possible. Normally the concentration of K+ is higher inside the neuron than outside. After the repolarizing phase of the action potential, K+ leakage channels and the Na+/K+ pump ensure that the ions return to their original locations. Following a stroke or other ischemic event, extracellular K+ levels are elevated. The astrocytes in the area are equipped to clear excess K+ to aid the pump. But when the level is far out of balance, the effects can be irreversible. Astrocytes can become reactive in cases such as these, which impairs their ability to maintain the local chemical environment. The glial cells enlarge and their processes swell. They lose their K+ buffering ability and the function of the pump is affected, or even reversed. One of the early signs of cell disease is this ""leaking"" of sodium ions into the body cells. This sodium/potassium imbalance negatively affects the internal chemistry of cells, preventing them from functioning normally.","Potassium Concentration Glial cells, especially astrocytes, are responsible for maintaining the chemical environment of the CNS tissue. The concentrations of ions in the extracellular fluid are the basis for how the membrane potential is established and changes in electrochemical signaling. If the balance of ions is upset, drastic outcomes are possible. Normally the concentration of K+ is higher inside the neuron than outside. After the repolarizing phase of the action potential, K+ leakage channels and the Na+/K+ pump ensure that the ions return to their original locations. Following a stroke or other ischemic event, extracellular K+ levels are elevated. The astrocytes in the area are equipped to clear excess K+ to aid the pump. But when the level is far out of balance, the effects can be irreversible. Astrocytes can become reactive in cases such as these, which impairs their ability to maintain the local chemical environment. The glial cells enlarge and their processes swell. They lose their K+ buffering ability and the function of the pump is affected, or even reversed. One of the early signs of cell disease is this ""leaking"" of sodium ions into the body cells. This sodium/potassium imbalance negatively affects the internal chemistry of cells, preventing them from functioning normally.",205
9672,What makes metals shiny?,light expansion,light characterization,light energy,light reflection,Metals are generally shiny. This is because they reflect much of the light that strikes them. The mercury pictured above is very shiny.,Metals are generally shiny. This is because they reflect much of the light that strikes them. The mercury pictured above is very shiny.,23
